,year,rank,population,per_capita-Meningitis,per_capita-Alzheimer's Disease and Other Dementias,per_capita-Parkinson's Disease,per_capita-Nutritional Deficiencies,per_capita-Malaria,per_capita-Drowning,per_capita-Interpersonal Violence,per_capita-Maternal Disorders,per_capita-HIV/AIDS,per_capita-Drug Use Disorders,per_capita-Tuberculosis,per_capita-Cardiovascular Diseases,per_capita-Lower Respiratory Infections,per_capita-Neonatal Disorders,per_capita-Alcohol Use Disorders,per_capita-Self-harm,per_capita-Exposure to Forces of Nature,per_capita-Diarrheal Diseases,per_capita-Environmental Heat and Cold Exposure,per_capita-Neoplasms,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Chronic Kidney Disease,per_capita-Poisonings,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Chronic Respiratory Diseases,per_capita-Cirrhosis and Other Chronic Liver Diseases,per_capita-Digestive Diseases,"per_capita-Fire, Heat, and Hot Substances",per_capita-Acute Hepatitis,gdp,gdp/percap
year,1.0,0.00039974484308422515,0.03893353581807378,-0.18051923323052194,0.13833853745181887,0.13415654050953293,-0.09126395450217602,-0.0821760829986094,-0.17196511523200245,-0.05325159385236281,-0.08611294086762616,0.00561313038289575,0.05041843435967538,-0.11177945555959504,0.032542342216372755,-0.0752824783143347,-0.16031461751775075,0.011715484483944775,-0.029258567446780882,-0.0982801283809204,-0.06239624216759538,-0.04577711332147491,0.10804120346521763,-0.049541900316217115,0.08109044843075092,0.18104879046939468,-0.11233991214693488,-0.08724240246734004,-0.1484081479158472,9.802720815551147e-05,-0.012401713687851952,0.008531205125545305,-0.12076943514846143,-0.11036858173644873,0.17724523754750046,0.215366919070614
rank,0.00039974484308422515,1.0,-0.9988543630979054,-0.19848252317987186,0.049429804645814125,0.1681094676870339,-0.17981055839625876,-0.3208225552448837,0.16991704276718023,0.08205453778882324,-0.17081786732850707,-0.035839551295171364,-0.14961368709233694,-0.21851204491192786,0.1469384346242072,-0.07026551625814073,-0.1436972193286308,0.07706334879631858,0.11524094535421095,-0.48384923710730543,-0.16057871017106443,-0.22048644279477653,0.16713977234494462,-0.5207170162777394,0.32573348163130444,0.25253188261125187,-0.301614234978278,-0.1737998697921632,-0.09524339912302798,-0.0043851715912045924,-0.13037812155051004,-0.09347777414385178,-0.045668196553081616,-0.35732096451682044,-0.710730309824144,0.20101500749459694
population,0.03893353581807378,-0.9988543630979054,1.0,0.19033093958457428,-0.04402771654650201,-0.16246786911544284,0.1753657242055027,0.3162160662600607,-0.1779537876885558,-0.08463066927970088,0.16665479092555505,0.03438846332653983,0.1525147620778931,0.21301646615112227,-0.14555888164175607,0.06611267526767246,0.13669712251482166,-0.07643419527186911,-0.11557698635451932,0.4793885896784816,0.15711215924107302,0.21893957906820782,-0.16227087047857294,0.518354960309586,-0.32227210881119506,-0.2455206732052125,0.2968767253164305,0.16951385782146572,0.08850043760151725,0.004509494918818761,0.13009531592458085,0.09406308508062577,0.04032383204276861,0.3527512882835707,0.7195514184898463,-0.1903673937623107
per_capita-Meningitis,-0.18051923323052194,-0.19848252317987186,0.19033093958457428,1.0,-0.691912405624339,-0.7115124535911754,0.8028077437126983,0.7802616356267903,0.4020073888666159,0.43939051577000027,0.889914022615486,0.6171147404713164,-0.3845496138436525,0.8052588334995116,-0.514670133729634,0.6143377601433724,0.8897817114066109,-0.20143027091836632,-0.24669664526973512,0.14607913747958834,0.8137635443431251,0.27062133476023686,-0.6744392059911495,0.35453906518877093,-0.10574665314567025,-0.20959905880908858,0.6448519954592007,0.7925859949007591,0.3816992910490098,-0.24926256432692945,0.17943184948662624,0.018634708344115482,0.5548476003803244,0.7288514808070984,-0.414831169731624,-0.805336964159059
per_capita-Alzheimer's Disease and Other Dementias,0.13833853745181887,0.049429804645814125,-0.04402771654650201,-0.691912405624339,1.0,0.925430751545491,-0.5546551451795032,-0.6213921187963414,-0.3943232422706812,-0.28276015591008047,-0.7751715951713123,-0.3848139394855542,0.4698227882377595,-0.6728826576936747,0.64708911074177,-0.3693731806303876,-0.8057504638334264,0.4435621467767383,0.31410816380420487,-0.033849318008085855,-0.6398502422352743,-0.0954311255041345,0.8755151907605088,-0.30115172636690873,0.0929394845559388,0.3045300253648543,-0.4835294741523039,-0.5323599307234396,-0.4690123473231286,0.38963406832674996,0.008215929107135733,0.27532984136431504,-0.3988775629788957,-0.668509437121265,0.4288914723444723,0.6895885858402254
per_capita-Parkinson's Disease,0.13415654050953293,0.1681094676870339,-0.16246786911544284,-0.7115124535911754,0.925430751545491,1.0,-0.5665698185798516,-0.6680940527623821,-0.2660105894563983,-0.3090682415540031,-0.7894258105356569,-0.428609714421081,0.4513179851947414,-0.6573050577514956,0.735503083132127,-0.34250013296710596,-0.8164438789251887,0.4552986441876275,0.39121703836991906,-0.08240461889927342,-0.6195513388279026,-0.10297653711379083,0.9152931985076997,-0.38080490511473214,0.22698770973366794,0.3908700352781717,-0.5123324368077518,-0.5505400939854793,-0.46834899545134745,0.5354309397791617,0.02191116846952139,0.29550678615608467,-0.39048546427883174,-0.6909928237636819,0.3262380972741501,0.6745154188299274
per_capita-Nutritional Deficiencies,-0.09126395450217602,-0.17981055839625876,0.1753657242055027,0.8028077437126983,-0.5546551451795032,-0.5665698185798516,1.0,0.7493031860319164,0.30669984527725713,0.43388705691572943,0.8287504220548104,0.6413466383489084,-0.43299898888239907,0.6903571611126842,-0.5889912862733235,0.6470657926158846,0.7741457273456747,-0.10502077821363819,-0.2121540337463378,0.16822808238136813,0.8587724980669417,0.139027467358239,-0.5380702648212379,0.23099006019753318,0.09394257064363853,0.00972772554148633,0.42095383641038164,0.9860794234992948,0.28814692124376706,-0.1660315433985831,0.14352877112191648,0.0608175000326111,0.32188288487962613,0.5621150033169902,-0.3243372754785022,-0.6236517220117765
per_capita-Malaria,-0.0821760829986094,-0.3208225552448837,0.3162160662600607,0.7802616356267903,-0.6213921187963414,-0.6680940527623821,0.7493031860319164,1.0,0.22907930157259548,0.28201826100583105,0.7947876579831094,0.596544075641899,-0.4267142143367197,0.7503374681193876,-0.6060666182287362,0.615089703635635,0.7919634390133847,-0.2668670150367258,-0.25351302133445447,0.18927550748620875,0.7858104393155101,0.24027830719037574,-0.6461912188679418,0.37411369761478563,-0.1630039581171136,-0.2606929229876906,0.570622447226914,0.7407794536395136,0.36556777850285327,-0.24326702977910483,0.17469770328123993,0.006394370481325314,0.3355672433882111,0.6990642504741801,-0.22168343277012753,-0.698792187979514
per_capita-Drowning,-0.17196511523200245,0.16991704276718023,-0.1779537876885558,0.4020073888666159,-0.3943232422706812,-0.2660105894563983,0.30669984527725713,0.22907930157259548,1.0,0.47250637894616326,0.3773230134398392,0.3564545998587015,-0.21511187696975106,0.5262761162345412,0.011987509996473196,0.32863802293823124,0.39365867282551503,0.0669619527470875,0.16465726560163343,0.045712542715813445,0.3109761195699185,0.12028909841446167,-0.21128701583410983,-0.01174182904739342,0.12162664244383634,0.02551308720933106,0.3259678312028922,0.27173912875425305,0.3880962465801942,0.07340754843853967,0.26360388971075355,0.13869427171756724,0.4397329113670875,0.21656109349426678,-0.501391928478942,-0.5028184762966508
per_capita-Interpersonal Violence,-0.05325159385236281,0.08205453778882324,-0.08463066927970088,0.43939051577000027,-0.28276015591008047,-0.3090682415540031,0.43388705691572943,0.28201826100583105,0.47250637894616326,1.0,0.4383426768462663,0.5065621818216897,-0.2185007296545992,0.4074841634022301,-0.20718630514141975,0.23174844809839737,0.4521485290927001,0.207544120208937,0.013716283585916929,0.06385147207606512,0.32837693154413355,0.07461736522306178,-0.20751342467145154,0.06305734628521974,0.2152268112413459,0.14257720604275786,0.25369225000319107,0.43336945648153996,0.32558371537861724,-0.225325611963748,0.15140516941193205,0.07353794831799765,0.3968510003888731,0.11061305364836617,-0.3559129086185331,-0.3807462396958145
per_capita-Maternal Disorders,-0.08611294086762616,-0.17081786732850707,0.16665479092555505,0.889914022615486,-0.7751715951713123,-0.7894258105356569,0.8287504220548104,0.7947876579831094,0.3773230134398392,0.4383426768462663,1.0,0.590754914555686,-0.47824358139874995,0.788051290229596,-0.622939541565247,0.5618381582640242,0.9236821490025103,-0.2990105674366962,-0.3272483863965705,0.14618692554286808,0.8317405165159393,0.16832041335235565,-0.765778507466533,0.34064627420745847,-0.0419030158232287,-0.13428242311862285,0.5726470856960725,0.8211448671548963,0.44967039188888225,-0.3117674670426413,0.1397768539116714,-0.058229220527341766,0.4467331447481885,0.7468536173359884,-0.42578053644052627,-0.7943166319166292
per_capita-HIV/AIDS,0.00561313038289575,-0.035839551295171364,0.03438846332653983,0.6171147404713164,-0.3848139394855542,-0.428609714421081,0.6413466383489084,0.596544075641899,0.3564545998587015,0.5065621818216897,0.590754914555686,1.0,-0.3650018349365885,0.5855343367088754,-0.4458589498626366,0.5407348727250029,0.5691045301831476,-0.006558061006337608,-0.046000182784043796,0.04854748885451211,0.5784209865942149,0.11853212336237154,-0.3628440750023268,0.13637868556092309,0.12518438128975853,0.000603989307805234,0.392540288093763,0.6335550844543785,0.360024707959074,-0.24850995951538604,0.16919042960263286,0.09074213731874459,0.4083181031183187,0.367229739822893,-0.3369751886575344,-0.4636838831756663
